Sample_ID	Age_BP	Location	Haplogroup
I2978	5140	Scotland, Orkney, Isbister	K1b1a1
I4893	6345	Prague 8, Kobylisy, Ke Stírce Street	U5b1b1
I1631	6099	Areni 1	K1a8
I2980	5173	Scotland, Orkney, Point of Cott	H1
I3133	5446	Scotland, Argyll and Bute, Oban, Raschoille Cave	K1a+195
I1496	7040	Apc-Berekalya I	K1a3a3
I5279	4891	Lower Tyumechin 1	U4d1
I5077	7001	Osijek, Hermanov Vinograd	U5a1+@16192
I5835	4200	Irlbach LKR	J1c
I2935	5115	Scotland, Orkney, Isbister	U8b1b
I4877	8505	Vlasac	U5b1d1
I5236	10038	Padina	U5a2d
I3950	4707	Altai Mountains, Yenisey River, left bank of Karasuk tributary, Karasuk III	U5b2a1a+16311
I4873	7867	Vlasac	U5a2+16294
I5950	4470	Gamo Highlands, Mota Cave	L3x2a
I3949	4569	Altai Mountains, Yenisey River, left bank of Karasuk tributary, Karasuk III	U5a1d2b
I4878	7803	Vlasac	U4a
I4914	8088	Hajduka Vodenica	U5a1c1
I1633	4465	Kalavan	H1u
I1583	8273	Northwest Anatolia, Marmara, Barcın	K1a2
I2861	2843	Scotland, Covesea Cave 2	I2a1
I2520	5153	Veliko Tarnovo, Dzhulyunitsa	H
I1960	8116	Siberia, western, Tyumen Oblast	U2e3
I5235	10835	Padina	U5b2c
I5233	8001	Padina	U5b1d1
I4596	7970	Zvejnieki	U5a2d
I4438	7248	Zvejnieki	U4b1a
I1053	3785	Kamennyi Ambar 5 Cemetery	H2b
I2514	4347	Tepe Hissar	W3b
I2105	4850	Shevchenko, OAE-2003	T1a1
I3255	3994	England, Cambridgeshire, Trumpington Meadows	T2b
I1507	7661	Tiszaszolos-Domaháza	R1b1
I5273	4872	Lower Tyumechin 1	T2a1a
I1632	6076	Areni 1	K
I5838	4550	Burgos, Atapuerca, El Mirador Cave	K1a+195
I4634	4998	Parkhai II	I1b
I4875	8458	Vlasac	U5b1d1
I4432	7958	Zvejnieki	U5a2c
I5319	725	Alaska, western interior, Tochak McGrath, Upper Kuskokwim River	A2a
I6714	4479	Altai Mountains, Yenisey River, left bank of Karasuk tributary, Karasuk III	U5a1d2b
I1734	9159	Vasil'evka	U5b2
I0708	8101	Northwest Anatolia, Marmara, Barcın	N1b1a
I4315	3461	Dzharkutan	R2+13500+195
I3123	4121	Sicily, Buffa	U8b1b1
I5748	4383	Noord-Holland, Oostwoud, De Tuithoorn	X2b4
I2445	4048	England, Oxfordshire, Yarnton	X2b6
I3758	2226	Basque Country, Alava, La Hoya	U5b1+16189+@16192
I10871	7913	Shum Laka	L0a2a1
I7421	3790	Sappali Tepe	J1b1b1
I2510	4794	Veliko Tarnovo, Dzhulyunitsa	H4a1
I4916	8763	Hajduka Vodenica	U5b2b
I3388	4600	Altai Mountains, Yenisey River, left bank of Karasuk tributary, Karasuk III	U5a1d2b
I6717	3391	Krasnoyarsk Krai, near Orak Ulus, Orak burial place	T1a1
I3130	2844	Scotland, Covesea Caves	U5a1c
I3389	3600	Krasnoyarsk Krai, near Orak Ulus, Orak burial place	H27+16093
I3954	4690	Altai Mountains, Yenisey River, left bank of Karasuk tributary, Karasuk III	U4b3
I3396	3600	Krasnoyarsk Krai, near Orak Ulus, Orak burial place	T2b34
I7211	4183	Radosevice	U5b3
I7042	6086	Szigetszentmiklós-Üdülősor	H
I3395	3600	Krasnoyarsk Krai, near Orak Ulus, Orak burial place	T1a1
I7627	3268	England, Bedfordshire, Biddenham Loop	U4a
I7574	3271	England, Cambridgeshire, Trumpington, Clay Farm	H1a3
I6348	3632	Bulgan, Khutag-Undur sum, Haruulyn Gozgor tomb 1-113	HV12b1
I7043	4011	Szigetszentmiklós-Üdülősor	H1b1
I7286	4221	Radosevice	I4a
I7021	7050	Dornod aimag, Bulgan sum, Norovlin Uul burial	D4h4
I2859	2810	Scotland, Covesea Caves	K1a2c
I6718	3493	Krasnoyarsk Krai, near Orak Ulus, Orak burial place	U4a
I3313	2722	Jazinka Cave	HV0e
I5277	4952	Elo Bashi	U4b3
I7045	4231	Szigetszentmiklós-Üdülősor	T2c1d+152
I4109	3516	Sicily, Buffa	K2b1
I2860	2824	Scotland, Covesea Cave 2	H5a1
I2981	3711	Scotland, Orkney, Lop Ness, Stenchme	T2a1b1a
I4773	3508	Aktogai	U5a1a2a
I3951	4711	Altai Mountains, Yenisey River, left bank of Karasuk tributary, Karasuk III	U5b2a1a+16311
I6232	2239	Uvs aimag, Ulaangom sum, Chandman Uul, Ulaangom cemetery Grave #48, Burial 6	U4b1a1a1
I5269	4902	Elo 1	T2a1a
I3952	4667	Altai Mountains, Yenisey River, left bank of Karasuk tributary, Karasuk III	U5a1a1
I2521	7503	Veliko Tarnovo, Dzhulyunitsa	H
I11974	11885	Coquimbo, Los Vilos, Los Rieles	C
I7414	3925	Sappali Tepe	HV
I4435	5972	Zvejnieki	U4a1
I4229	4158	Cova da Moura	U5a2+16362
I6716	3571	Krasnoyarsk Krai, near Orak Ulus, Orak burial place	W1c
I3390	3600	Krasnoyarsk Krai, near Orak Ulus, Orak burial place	U5a2+16294
I4918	7600	Saraorci-Jezava	K1a4a1
I0745	8243	Northwest Anatolia, Marmara, Barcın	U8b1b1
I7278	4333	Brandysek	U4a2
I5079	5421	Radovanci	J1c2
I2443	4091	England, Oxfordshire, Yarnton	T2c1d+152
I3125	3490	Sicily, Buffa	K1a3a
I4437	6164	Zvejnieki	U5a1d2
I4550	8489	Zvejnieki	U5b2a+@16192
I7198	4026	Prague 5, Jinonice, Butovická Street	U5b2c
I7212	4247	Radosevice	K1b1a1+199
I4439	7646	Zvejnieki	U5b1d1
I4434	7441	Zvejnieki	U5a2d
I4441	6718	Zvejnieki	U5a1c
I4595	7637	Zvejnieki	U2e1h
I2636	5397	Scotland, Orkney, Holm of Papa Westray North	V
I2932	4433	Scotland, Orkney, Isbister	H5
I4888	4038	Prague 8, Kobylisy, Ke Stírce Street	K1a2c
I2988	5397	Scotland, Clachaig	U5b2a+@16192
I6591	4200	Irlbach LKR	U5b2c
I4889	4131	Prague 8, Kobylisy, Ke Stírce Street	U4a
I7039	3066	Khovd, Duut sum, Khoit Tsenkheriin gol 1988 barrow 3	D4j
I7272	5417	Brandysek	K2a5
I5232	7901	Padina	K1a+195
I7249	4011	Brandysek	I2
I4062	6815	Sicily, Fossato di Stretto Partana	H1e
I7281	4194	Prague 5 - Mala Ohrada	H5a1g
I3134	5461	Scotland, Argyll and Bute, Oban, Raschoille Cave	T2
I3136	5397	Scotland, Argyll and Bute, Oban, Raschoille Cave	H1+16189
I7568	3400	England, Cambridgeshire, Over, Over Narrows	W1+119
I4075	3950	Noord-Holland, Oostwoud, De Tuithoorn	H5a1
I2509	6350	Veliko Tarnovo, Dzhulyunitsa	K1a2
I7580	3087	England, Bedfordshire, Biddenham Loop	U5b2a1a
I4551	7670	Zvejnieki	U5a2
I4784	3508	Kyzyl Bulak 1	G2a1
I5769	2592	Veliko Tarnovo, Dzhulyunitsa	H
I4892	3754	Prague 8, Kobylisy, Ke Stírce Street	T1a1
I1502	4026	Kompolt-Kigyoser	K1
