Sample_ID	Age_BP	Location	Haplogroup
NE30	9896	Nepal, Kathmandu	D4m
NE61	3421	Nepal, Kathmandu	D4b1a2a
NE35	8990	Nepal, Kathmandu	R11
I17622	3050	Southwest, Dukat	n/a (<2x)
I13833	325	Barç (Southeast, Korça Basin)	X2e1
I3931	7858	Aknashen	I1
I3930	7535	Masis Blur	K
I13559	750	South Andros, Sanctuary Blue Hole	B2e
I24542	4725	Mayahak Cab Pek	C1c
I19493	2750	Kapitan Andreevo (South)	K1a4a1
I19479	2025	Kazanlak, Yasenovo, Stara Zagora	n/a (<2x)
I13487	1329	Matanzas City, Canimar Abajo	D1
I16326	2625	NW Bohemia, Louny, Stradonice	H7
I8122	1150	El Soco	A2z
I14200	4328	England, Wiltshire, Amesbury Down	K1b1a
I2446	4215	England, Oxfordshire, Yarnton	K1b1a1
I19043	2200	England, Hampshire, Winnall Down	J1c1
I30333	5748	England, Gloucestershire, Cheltenham, Hazleton North	n/a (<2x cov)
I3587	4175	Bavaria, Alburg-Lerchenhaid, Spedition Häring, Stkr. Straubing	H1e1a
I13433	3200	Kastrouli (Desfina, Phokis, near Delphi)	U3b1
I13531	3200	Kastrouli (Desfina, Phokis, near Delphi)	U3b
I13580	3169	Kastrouli (Desfina, Phokis, near Delphi)	K2b
I7527	9900	Ganj Dareh	U7a
I6441	3300	Nemrik 9	HV1a'b'c
I6445	10700	Nemrik 9	J1d
I6441	3300	Nemrik 9	HV1a'b'c
I2189	3500	Megiddo, Jezreel Valley	U3b
I1072	12700	Raqefet Cave	N1b
I1072	12700	Raqefet Cave	n/a (<2x)
I1072	12700	Raqefet Cave	N1b
I1415	9827	'Ain Ghazal	T1a2
I1701	9600	'Ain Ghazal	K1a18
I1707	9569	'Ain Ghazal	R0a
I1709	10050	'Ain Ghazal	n/a (<2x)
I1710	9565	'Ain Ghazal	T1a2
I1704	9159	'Ain Ghazal	T
I1727	10050	'Ain Ghazal	T1a2
I1415	9827	'Ain Ghazal	T1a2
I1701	9600	'Ain Ghazal	K
I1709	10050	'Ain Ghazal	n/a (<2x)
I1679	8800	'Ain Ghazal	n/a (<2x)
I1699	8700	'Ain Ghazal	R0a2
I1708	8700	'Ain Ghazal	R0a2
I1679	8800	'Ain Ghazal	R
I4427	6009	Fingira	L0d1b2b
I4427	6009	Fingira	L0d1b2b
I13778	3234	Velika Gruda	H1+16311
I0231	4844	Samara Oblast, Volga River Valley, Southern Steppe, Ekaterinovka	U4a1
I1525	1695	Uelen Chukotka, Bering Strait	A2a
I0726	7950	Menteşe (Northwest Anatolia, Marmara, Yenişehir)	H
I1099	8300	Barcın (Northwest Anatolia, Marmara)	T2
I1100	8300	Barcın (Northwest Anatolia, Marmara)	K
